Kelcy Warren,USA,Energy Transfer Partners,Chairman and Chief Executive Officer,male
Luo Jye,Taiwan,Maxxis,founder,male
Marilyn Carlson Nelson,USA,Carlson Inc,relation,female
Dan Olsson,SWE,Stena Sphere,relation,male
Emanuele (Lino) Saputo,CAN,Saputo Inc,relation,male
Guo Guangchang,CHN,Fosun Group,founder,male
Lee Shin Cheng,MYS,IOI Group,founder and chairman,male
Liang Wengen,CHN,Sany Heavy Industry,founder,male
"Paul Tudor Jones, II.",USA,Tudor Investment Corporation,founder,male
Sam Zell,USA,Equity Group Investments,founder,male
Samvel Karapetyan,RUS,Tashir Group,founder,male
Wang Chuanfu,CHN,BYD Company,founder,male
Akira Mori,JPN,Mori Building,relation,male
Bernard Ecclestone,GBR,Formula One Group,investor and  CEO,male
Elizabeth Mohn,DEU,Bertelsmann,relation,female
Enrique Razon,PHL,International Containter Terminal Services,relation,male
Friede Springer,DEU,Axel Sbringer AG,relation,female
Jeronimo Arango,MEX,Aurrera,founder,male
Leonard Stern,USA,Hartz Group,relation,male
Lin Rong San,Taiwan,Union Bank of Taiwan,founder,male
Malcolm Glazer,USA,First Allied Corporation,founder,male
Ralph Dommermuth,DEU,United Internet,founder,male
Ted Lerner,USA,Lerner Enterprises,founder,male
Wang Wenyin,CHN,Amer International Group,owner,male
William Ding,CHN,NetEase,founder and CEO,male
Anthony Bamford,GBR,JCB,relation,male
Barry Lam,Taiwan,Quanta Computer,founder,male
Beny Steinmetz,ISR,Steinmetz Diamond Group and BSGR,relation,male
Eduardo Saverin,BRA,Facebook,founder,male
Francisco Ivens de Sa Dias Branco,BRA,M. Dias Branco S.A.,relation,male
Ingvar Kamprad,SWE,IKEA,founder,male
Nancy Walton Laurie,USA,Walmart,relation,female
Shahid Khan,USA,Flex-N-Gate,owner,male
Arkady Rotenberg,RUS,"SGM Group, Mostotrest, TPS Avia",owner,male
Bertil Hult,SWE,EF Education,founder,male
Chairul Tanjung,IDN,Para Group (aka CT Corp),founder,male
Curt Engelhorn,DEU,BASF/Boehringer Mannheim/DePuy,relation,male
David & Frederick Barclay,GBR,Press Holdings,founder,male
Erich Kellerhals,DEU,Media Markt,founder,male
Gustaf Douglas,SWE,Investment AB Latour,founder,male
Gustavo Cisneros,VEN,Cisneros Group,relation,male
John Morris,USA,Bass Pro Shops,founder,male
Lars Larsen,DEN,JYSK,founder and CEO,male
Lei Jun,CHN,Xiaomi Tech,founder,male
Randal Kirk,USA,General Injectables and Vaccines/Third Security LLC,founder,male
Wang Wei,CHN,S.F. Express,founder,male
Bernard (Barry) Sherman,CAN,Empire Laboratories,relation,male
Daniel Och,USA,Och-Ziff Capital Management Group,"founder, chairman, ceo",male
Donald Trump,USA,The Trump Organization,relation,male
Heinz-Georg Baus,DEU,Bauhaus,founder,male
"John Gokongwei, Jr.",PHL,JG Summit Holdings,founder,male
Martha Ingram,USA,Ingram Industries,relation,female
Riley Bechtel,USA,Bechtel Corporation,relation and chairman,male
"Stephen Bechtel, Jr.",USA,Bechtel Corporation,relation,male
Alain Merieux,FRA,Institut Merieux,relation,male
Alexander Abramov,RUS,EvrazHolding,Chairman,male
Andreas von Bechtolsheim,DEU,Sun Microsystems,founder,male
Jeffrey Skoll,USA,Ebay,president,male
Mark Shoen,USA,U-haul,relation,male
Mitchell Rales,USA,Danaher,founder,male
Odd Reitan,NOR,Reitan Group,founder,male
Peter Hargreaves,GBR,Hargreaves Lansdown,founder,male
Steve Wynn,USA,Wynn Resorts (formarly Mirage Resorts),founder,male
Uday Kotak,IND,Kotak Mahindra Bank,founder,male
Walter Faria,BRA,Grupo Petropolis,owner,male
William Koch,USA,Koch industries,relation,male
Aloys Wobben,DEU,Enercon,founder,male
Axel Oberwelland,DEU,Storck,relation,male
Charles Dolan,USA,Cablevision and HBO,founder,male
Daniel Gilbert,USA,Quicken Loans,founder,male
Gong Hongjia,HKG,Hikvision,owner and vice chair,male
Guenther Fielmann,DEU,Fielmann AG,founder,male
Igor Kesaev,RUS,Mercury Company,founder,male
Isabel dos Santos,AGO,Unitel Interneational Holdings,founder,female
Jiang Bin,CHN,GoerTek,founder,male
John Sall,USA,SAS institute,founder,male
Joseph Tsai,CAN,Alibaba,founder/vice chairman,male
Karen Pritzker,USA,Hyatt,relation,female
Martin & Olivier Bouygues,FRA,Bouygues S.A.,relation,male
Michael Stoschek,DEU,Brose,relation,male
Murat Ulker,TUR,Yildiz Holding,relation,male
Nathan Kirsh,SWZ,Jetro Holdings,investor,male
Niels Peter Louis-Hansen,DEN,Coloplast,relation,male
Ronald Lauder,USA,Est?Lauder,relation,male
Wu Yajun,CHN,Longfor Properties,founder,female
Zhang Jindong,CHN,Suning Group,founder/president,male
Zhang Xin,CHN,SOHO China,founder,female
Vanich Chaiyawan,THA,Thai Life,Chairman,male
David Shaw,USA,D.E. Shaw & Co,founder,male
God Nisanov,RUS,Kiyevskaya Ploshad,founder,male
Ian & Richard Livingstone,GBR,London & Regional Properties,founder,male
J. Christopher Reyes,USA,Reyes Holdings,ceo,male
Jan Kulczyk,POL,Kulczyk Investments,founder,male
Jerry Speyer,USA,Tishman Speyer,founder,male
Jude Reyes,USA,Reyes Holdings,ceo,male
Maria-Elisabeth Schaeffler,DEU,Schaeffler Group,relation,female
Michael Platt,GBR,BlueCrest Capital Management,founder,male
Reid Hoffman,USA,LinkedIn,founder,male
Sheldon Solow,USA,Solow Building Company,founder,male
Steven Rales,USA,Danaher,founder,male
Steven Udvar-Hazy,USA,International Lease Finance Corporation,founder,male
Zarakh Iliev,RUS,,founder,male
Zhang Shiping,CHN,China Hongqiao,founder,male
Adi Godrej,IND,Godrej Group,relation,male
Andreas Struengmann,DEU,Hexal AG,founder,male
Bernard Marcus,USA,Home Depot,founder,male
Evan Williams,USA,Twitter,founder,male
George Bishop,USA,GeoSouthern,founder,male
"H. Ross Perot, Sr.",USA,Electronic Data Systems,founder,male
Jamshyd Godrej,IND,Godrej Group,relation,male
Keiichiro Takahara,JPN,Unicharm,founder,male
Leon G. Cooperman,USA,Omega Advisors,founder,male
Lorenzo Mendoza,VEN,Empresas Polar,relation,male
Lu Guanqiu,CHN,Wanxiang Group,founder,male
Masatoshi Ito,JPN,Ito-Yokado,founder,male
Prince Sultan bin Mohammed bin Saud Al Kabeer,SAU,Almarai,founder,male
Rosa Anna Magno Garavoglia,ITA,Gruppo Campari,relation,female
Sri Prakash Lohia,IDN,Indorama Corporation,founder,male
Thomas Struengmann,DEU,Hexal AG,founder,male
Yvonne Bauer,DEU,Bauer Media Group,relation,female
Zygmunt Solorz-Zak,POL,Polsat,founder,male
Andrei Guriev,RUS,Apatit,chairman,male
Chung Eui-Sun,KOR,Hyundai,relation/vice chairman,male
Daniela Herz,DEU,Maxingvest AG,relation,female
"Edward Roski, Jr.",USA,Majestic Realty Co.,relation,male
Fredrik Lundberg,SWE,LE Lundbergforetagen AB,relation,male
Haim Saban,USA,Saban Entertainment,founder,male
Han Chang-Woo,JPN,Maruhan,"Chairman, CEO",male
Jim Davis,USA,New Balance,Chairman,male
John Doerr,USA,Kleinter Perkins Caufield & Byers,employee,male
John Gandel,AUS,Chadstone Shopping Center,relation,male
Lin Yu-lin,Taiwan,Hong Tai Group,founder,male
Rafael Del Pino y Calvo-Sotelo,ESP,Ferrovial,relation,male
Ronda Stryker,USA,Stryker Corporation,relation,female
Steven Spielberg,USA,DreamWorks,founder,male
Sun Guangxin,CHN,Xinjiang Guanghui Industry Investment Group,founder,male
Tamara Gustavson,USA,Public Storage,relation,female
Wolfgang Marguerre,DEU,Octapharma,founder,male
Aloysio de Andrade Faria,BRA,Banco Real,relation,male
Antti Herlin,FIN,Kone Corporation,relation,male
Clayton Riddell,CAN,Paramount Resources,founder,male
Daryl Katz,CAN,Katz Group,Chairman and Chief Executive Officer,male
David Consunji,PHL,DMCI,founder,male
Doris Fisher,USA,The Gap,founder,female
Francis Choi,HKG,Early Light International,founder,male
Fu Liquan,CHN,Zhejiang Dahua Technology,chairman,male
Israel Englander,USA,Millennium Management LLC,founder,male
Jean Pierre Cayard,FRA,La Martiniquaise,relation,male
Marc Benioff,USA,salesforce.com,founder,male
Matthias Reimann-Andersen,DEU,Benckiser,relation,male
Mikhail Gutseriev,RUS,Russneft,owner,male
Otto Happel,DEU,GEA Group,relation,male
Phillip Frost,USA,Opko Health,Chairman and Chief Executive Officer,male
