Asklepios Kliniken GmbH,1984,hospitals,new,Europe
Orient Overseas Container Line,1969,shipping,new,East Asia
Rossmann,1972,retail,new,Europe
Edward J. DeBartolo Corporation,1944,real estate,new,North America
Ronesans Construction,1994,construction,new,Middle East/North Africa
Adani Group,1988,"energy (coal, oil and gas)",new,South Asia
Century Golden Resources Group,1991,real estate,new,East Asia
Loews Corporation,1946,retail,new,North America
Midland Mobile Phones,1986,cell phones,new,Europe
Bank of Ayudhya/Bangkok Broadcasting and Television Company,1945,"banking, media",new,East Asia
Conair,1959,hair care products ,new,North America
Campbell Soup,1869,soup,aquired,North America
ABC-Mart,1985,shoe retail,new,East Asia
Metro AG,1923,retail,new,Europe
Sequoia Capital,1972,venture capitalist,new,North America
RMA Watanya,1949,insurance,new,Middle East/North Africa
Golden Eagle Energy,1980,coal,new,East Asia
Adecco,1996,HR consulting,aquired,Europe
Sid Richardson Gasoline Co,1919,oil,new,North America
AmorePacific,1945,cosmetics,new,East Asia
Magnitogorsk Metallurgical Enterprise,1925,iron and steel,privatization,Europe
Petro-Hunt,1920,oil,new,North America
WL Ross & Co,2000,leveraged buyouts,new,North America
China Huishan Dairy Holding,1951,dairy products,new,East Asia
Stroygazconsulting,1992,construction,new,Europe
Chandler Corporation,1986,private equity,new,North America
Dolby Laboratories,1965,video technology,new,North America
TPG Capital,1992,private equity,new,North America
CA Technologies,1976,software,new,Europe
ECCO,1963,shoes,new,Europe
Wharton Properties,1994,real estate,new,North America
Joh. Johannson,1866,groceries,new,Europe
Park Hotel Group,1961,real estate,new,East Asia
JD.com,2004,e-commerce,new,East Asia
Kynetic/GSI,1995,e-commerce,new,North America
O Botic?rio,1977,cosmetics,new,Latin America
African Rainbow Minerals,1997,mining,new,Sub-Saharan Africa
Zhejiang Semir Garment,1996,retail,new,East Asia
Ubiquiti Networks,2005,wireless products,new,North America
Yucaipa Companies,1986,private equity,new,North America
Summit,1992,real estate,new,East Asia
Shenzhen Salubris Pharmaceuticals,1998,pharmaceuticals,new,East Asia
YTL Corporation,1955,"construction, utilities",new,East Asia
Univision,1955,media,aquired,North America
Hudson's Bay Company,1670,retail,privatization,North America
Arcadia,1903,fashion retail,aquired,Europe
Rosgosstrakh,1921,insurance,privatization,Europe
Amil,1972,healthcare management,new,Latin America
Grupo Televisa,1955,media,new,Latin America
BW Group,1955,shipping,new,Europe
Allen & Company,1922,investment banking,new,North America
Hengan Internationl Group Company Limited,1985,diapers,new,East Asia
Advanced Semiconductor Engineering,1984,electronics,new,East Asia
SACI Falabella,1889,retail,new,Latin America
Broadcast.com,1995,web broadcasting,new,North America
Viessmann Group,1917,heating systems,new,Europe
