1132,Arkady Rotenberg,privatized and resources,Non-Traded Sectors,True,not inherited
1133,Bertil Hult,founder non-finance,0,True,not inherited
1134,Chairul Tanjung,privatized and resources,Financial,True,not inherited
1135,Curt Engelhorn,inherited,New Sectors,True,4th generation
1136,David & Frederick Barclay,founder non-finance,Non-Traded Sectors,True,not inherited
1137,Erich Kellerhals,founder non-finance,Non-Traded Sectors,True,not inherited
1138,Gustaf Douglas,founder non-finance,0,True,not inherited
1139,Gustavo Cisneros,inherited,Non-Traded Sectors,True,father
1140,John Morris,founder non-finance,Non-Traded Sectors,True,not inherited
1141,Lars Larsen,founder non-finance,Non-Traded Sectors,True,not inherited
1142,Lei Jun,founder non-finance,Traded Sectors,True,not inherited
1143,Randal Kirk,founder non-finance,New Sectors,True,not inherited
1144,Wang Wei,founder non-finance,Non-Traded Sectors,True,not inherited
1192,Bernard (Barry) Sherman,inherited,New Sectors,True,father
1193,Daniel Och,self-made finance,Financial,True,not inherited
1194,Donald Trump,inherited,Non-Traded Sectors,True,father
1195,Heinz-Georg Baus,founder non-finance,Non-Traded Sectors,True,not inherited
1196,"John Gokongwei, Jr.",self-made finance,Financial,True,not inherited
1197,Martha Ingram,inherited,Non-Traded Sectors,True,spouse/widow
1198,Riley Bechtel,inherited,Non-Traded Sectors,True,4th generation
1199,"Stephen Bechtel, Jr.",inherited,Non-Traded Sectors,True,4th generation
1208,Alain Merieux,inherited,New Sectors,True,3rd generation
1209,Alexander Abramov,privatized and resources,Resource Related,True,not inherited
1210,Andreas von Bechtolsheim,founder non-finance,New Sectors,True,not inherited
1211,Jeffrey Skoll,executive,New Sectors,True,not inherited
1212,Mark Shoen,inherited,Non-Traded Sectors,True,father
1213,Mitchell Rales,founder non-finance,Traded Sectors,True,not inherited
1214,Odd Reitan,founder non-finance,Non-Traded Sectors,True,not inherited
1215,Peter Hargreaves,self-made finance,Financial,True,not inherited
1216,Steve Wynn,self-made finance,Financial,True,not inherited
1217,Uday Kotak,self-made finance,Financial,True,not inherited
1218,Walter Faria,executive,Traded Sectors,True,not inherited
1219,William Koch,inherited,Resource Related,True,father
1232,Aloys Wobben,privatized and resources,Resource Related,True,not inherited
1233,Axel Oberwelland,inherited,Traded Sectors,True,4th generation
1234,Charles Dolan,founder non-finance,Non-Traded Sectors,True,not inherited
1235,Daniel Gilbert,self-made finance,Financial,True,not inherited
1236,Gong Hongjia,self-made finance,Financial,True,not inherited
1237,Guenther Fielmann,founder non-finance,0,True,not inherited
1238,Igor Kesaev,privatized and resources,Non-Traded Sectors,True,not inherited
1239,Isabel dos Santos,privatized and resources,Financial,True,not inherited
1240,Jiang Bin,founder non-finance,New Sectors,True,not inherited
1241,John Sall,founder non-finance,New Sectors,True,not inherited
1242,Joseph Tsai,executive,New Sectors,True,not inherited
1243,Karen Pritzker,inherited,Financial,True,father
1244,Martin & Olivier Bouygues,inherited,Non-Traded Sectors,True,father
1245,Michael Stoschek,inherited,Traded Sectors,True,3rd generation
1246,Murat Ulker,inherited,Traded Sectors,True,father
1247,Nathan Kirsh,executive,Non-Traded Sectors,True,not inherited
1248,Niels Peter Louis-Hansen,inherited,New Sectors,True,father
1249,Ronald Lauder,inherited,Traded Sectors,True,father
